Countries,Balance 2016,Balance 2017,Balance 2018,Balance 2019,Balance 2020,Exported 2020,Imported 2020
World,-136103,669973,621599,906406,-3479041,60484795,63963836
France,5772428,6826712,7623363,7982568,7249903,8950761,1700858
Republic of Korea,2491548,2913895,3859659,4289310,5232173,6115434,883261
Japan,822642,1393379,2508248,2887906,3872159,5260979,1388820
Singapore,1104503,1655255,2324770,3053634,3341770,6236091,2894321
Germany,982899,963356,1159084,1214765,1175327,3361866,2186539
Switzerland,369003,585777,870932,929276,1106649,1638189,531540
Poland,562308,523036,789372,775721,933821,1954336,1020515
Italy,818466,922167,1137071,1107364,823764,1828187,1004423
United States of America,122241,417444,425832,987572,593531,5081837,4488306
Spain,-144771,-109223,-21323,22184,134975,1104431,969456
Israel,85161,121827,136284,124831,125453,249780,124327
South Africa,49891,62320,64619,38906,115636,270332,154696
Netherlands,-148458,-21087,36904,71899,75506,1083410,1007904
Senegal,22092,26939,45040,45273,52732,60069,7337
United Kingdom,-393400,-408891,-275635,-123275,33387,2040434,2007047
Czech Republic,-49130,-81816,-109535,-14176,27154,849309,822155
Republic of Ivory Coast,133367,148537,165299,144969,20338,28510,8172
Colombia,36806,50765,53353,48153,19291,143282,123991
Luxembourg,19180,26414,19998,16664,13326,89779,76453
Lebanon,-32350,-44126,-42795,-27906,11131,37424,26293
India,55014,25491,-20009,-53913,3616,141832,138216
Kenya,555,1033,940,751,2273,11703,9430
Free Zones,6793,9305,6481,3766,1768,4341,2573
Togo,43224,48347,60258,70252,1086,3371,2285
United States Minor Outlying Islands,-11781,-13985,-14022,-14280,815,2765,1950
French Southern and Antarctic Territories,-14,-34,-108,-53,249,297,48
Sint Maarten (Dutch part),-125,-104,-349,-36,52,106,54
Tokelau,11,71,15,0,19,19,
Saint Helena,-13,-8,-17,43,2,6,4
Tuvalu,-64,-1,-23,-22,-1,,1
Eritrea,-3,-8,-75,-71,-2,,2
Christmas Island,-8,-34,-36,-44,-3,1,4
Palau,-350,-325,-300,-7,-10,,10
Guam,-183,-87,-138,-137,-12,,12
Montserrat,-11,-3,-69,-1,-14,3,17
Niue,-9,-8,-11,-10,-25,,25
Marshall Islands,-25,-163,-46,-31,-25,,25
Northern Mariana Islands,-310,-206,-459,-74,-26,,26
Norfolk Island,-64,-9,-15,-24,-26,,26
Wallis and Futuna Islands,-89,-62,-39,-218,-32,,32
Falkland Islands (Malvinas),-46,-41,-21,,-43,,43
Nauru,-25,-46,-50,4,-45,,45
Comoros,-61,-60,-69,-73,-59,9,68
Solomon Islands,-259,-370,-300,-146,-75,1,76
Central African Republic,-1,-157,-86,-101,-79,,79
Tonga,-2880,-134,-153,-127,-86,1,87
Sao Tome and Principe,-129,-125,-135,-104,-108,1,109
Cook Islands,-347,44,-382,-203,-111,7,118
Federated States of Micronesia,0,-1,-21,-41,-122,4,126
Saint Kitts and Nevis,-817,-714,-134,-379,-130,2,132
Anguilla,-906,-561,-326,-213,-131,1,132
British Virgin Islands,-1015,-839,-828,37,-136,758,894
St. Pierre and Miquelon,-170,-162,-196,-123,-150,,150
Dominica,-254,-43,-112,-280,-160,1,161
Saint Vincent and the Grenadines,-726,-624,-709,-672,-192,1,193
Turks and Caicos Islands,-409,-273,-374,-432,-206,54,260
Vanuatu,-290,-48,-12,-259,-212,58,270
Gambia,-86,-91,-164,-103,-235,,235
Liberia,,-574,-2998,-2400,-270,2,272
"Korea, Democratic People's Republic of",-3542,-2520,-3323,-3421,-287,314,601
Kiribati,-70,-90,-167,-139,-361,,361
Antigua and Barbuda,-1979,-1707,-1810,-1722,-453,2,455
Uganda,5048,-4165,-5826,-6892,-455,11020,11475
Saint Lucia,-2780,-1819,-1754,-1927,-467,16,483
Chad,-1510,-2463,-2397,-4472,-560,6,566
Sudan (before 2012),,,,,-581,,581
Samoa,-142,-123,-168,-157,-600,14,614
Belize,-881,-698,-532,-1066,-602,9,611
Sierra Leone,-1353,-1289,-1237,-1965,-845,2,847
Niger,998,1519,755,-906,-881,165,1046
Democratic Republic of the Congo,-1447,-1175,-1317,-1137,-887,527,1414
Fiji,-3733,-3101,-4469,-3537,-934,3608,4542
Grenada,-1793,,-1032,-1026,-1004,1,1005
Cabo Verde,-1003,-1185,-1238,-1489,-1009,,1009
Seychelles,-1304,-1375,-1612,-1619,-1152,,1152
French Polynesia,-2711,-2268,-2337,-2421,-1175,3041,4216
Equatorial Guinea,-1535,-1488,-2082,-1821,-1190,,1190
"Bonaire, Sint Eustatius and Saba",-289,-703,-863,-734,-1193,5,1198
Mauritania,-1401,-1210,-1194,-1393,-1218,,1218
Suriname,-1167,-1420,-1878,-1965,-1287,9,1296
Syrian Arab Republic,-3634,-3477,-5397,-3976,-1314,139,1453
Timor-Leste,,-1341,-1486,-1907,-1432,1,1433
Papua New Guinea,-6324,-1798,-2325,-1665,-1457,4,1461
Guinea-Bissau,-76,-126,-124,-1729,-1638,,1638
South Sudan,-614,-218,-152,-343,-1708,,1708
Cuba,-4802,-4850,-5674,-2527,-1724,25,1749
Greenland,-919,-1136,-1646,-1886,-1738,11,1749
Bhutan,-1146,-1143,-1317,-1806,-1775,7,1782
Cayman Islands,-1474,-1477,-1696,-2497,-2068,1,2069
Aruba,-8983,-8113,-8162,-5183,-2160,2108,4268
Congo,-3064,-2864,-2414,-2762,-2211,146,2357
Somalia,-3156,-3831,-6304,-6878,-2223,15,2238
Madagascar,-2131,-2722,-2691,-2654,-2351,69,2420
Mozambique,-2023,-2685,-2808,-3015,-2392,16,2408
Tajikistan,-2331,-2448,-2279,-2280,-2411,,2411
Guyana,-3116,-2163,-2818,-3073,-2550,11,2561
Lesotho,-4029,-4510,-2124,-2582,-2555,765,3320
Bahamas,-7696,-8385,-10658,-4691,-2605,3,2608
Burkina Faso,-2639,-2102,-2746,-2613,-2614,18,2632
Sri Lanka,-12352,-10800,,-6366,-2732,3695,6427
Gabon,-6991,-6644,-6230,-4854,-2880,3,2883
Faroe Islands,-1137,-1102,-1553,-1919,-3088,11,3099
Gibraltar,-4450,-4335,-4558,-5305,-3092,18,3110
Malawi,-2503,-3653,-4435,-3660,-3182,78,3260
Slovenia,6258,-15653,-1109,-6435,-3360,89372,92732
Bermuda,-4068,-3852,-4130,-4099,-3425,,3425
Djibouti,-5840,-5305,-6723,-4424,-3483,3,3486
Jamaica,-4876,-5107,-5827,-6751,-3504,766,4270
Benin,-3463,-3475,-3283,-3757,-3753,194,3947
Afghanistan,0,-3197,-3412,-1903,-3938,11,3949
Barbados,-4829,-3022,-4271,-3891,-3994,61,4055
Turkmenistan,-6796,-7828,-4477,-4476,-4145,,4145
Burundi,-2315,-2666,-3831,-3152,-4147,11,4158
Maldives,-7622,-8342,-8821,-10023,-4279,116,4395
Rwanda,-6636,-7217,-8794,-6493,-4588,257,4845
United Republic of Tanzania,5561,9372,51976,-4986,-4652,7783,12435
Curaçao,,-5011,-5672,-5211,-5223,454,5677
Eswatini,-4677,-7211,-7423,-6550,-5752,36,5788
Zimbabwe,-9125,-7534,-7937,-2765,-5900,8,5908
Ethiopia,-8452,-10685,-8959,-9350,-5929,11,5940
Cameroon,4944,2782,2775,-4619,-6157,514,6671
Pakistan,-14504,-18208,-20022,-13403,-6341,13084,19425
Sudan,-6031,-7805,-7031,-9237,-6367,37,6404
Zambia,-5844,-6737,-7742,-7271,-6508,626,7134
Bulgaria,-22040,-16283,-30865,-30520,-6518,73786,80304
Bolivarian Republic of Venezuela,-10451,-6059,-1779,-2556,-6880,76,6956
New Caledonia,-6956,-6379,-7380,-6758,-6945,17,6962
Haiti,-8399,-4534,-8405,-4922,-7295,93,7388
Mali,-5803,-6091,-7671,-9768,-7730,46,7776
Latvia,-11949,-16955,-9041,-12957,-7866,60793,68659
Yemen,-7050,-12659,-15955,-18812,-9131,2,9133
Ghana,19371,39075,-7380,-5829,-10395,2419,12814
Trinidad and Tobago,-15345,-16312,-14100,-15315,-10549,602,11151
Brunei Darussalam,-6516,-6398,-6656,-6737,-10799,182,10981
Angola,-11928,-16589,-13983,-11345,-10862,55,10917
Malta,-8930,-9003,-10353,-12315,-10865,2387,13252
Kyrgyzstan,-11598,-17891,-21129,-3550,-11618,844,12462
Islamic Republic of Iran,-84800,-120307,-79945,-55002,-11664,1210,12874
Montenegro,-14120,-13598,-13454,-14046,-12594,360,12954
North Macedonia,-10249,-12068,-12095,-13917,-12610,4365,16975
Egypt,-30002,-34914,-25506,-42686,-12633,24257,36890
Iceland,-14338,-14553,-10350,-10782,-13164,10438,23602
Estonia,-30456,-19980,-22268,-29111,-13681,56047,69728
Mauritius,-17752,-18085,-19662,-19703,-14210,261,14471
Uzbekistan,,-6253,-7364,-11830,-14464,186,14650
Bahrain,-44623,-47306,-55111,-52828,-14578,78,14656
Guinea,-1443,-21112,-24678,-25937,-15332,35,15367
Nicaragua,-22902,-23027,-19662,-18407,-15528,161,15689
Dominican Republic,-24120,-32870,-35031,-34882,-15965,25249,41214
Uruguay,-16180,-18140,-19557,-17487,-16554,393,16947
Cambodia,-21381,-29060,-52167,-35500,-16720,1646,18366
Oman,-62116,-66303,-69946,-113419,-17140,42,17182
Paraguay,-16104,-26290,-27648,-25417,-17283,730,18013
Honduras,-25995,-25410,-24822,-26436,-17493,225,17718
Albania,-12419,-10470,-13950,-12788,-17955,984,18939
Republic of Moldova,-13810,-16385,-19050,-21621,-18439,2317,20756
Belarus,-12984,-20950,-24208,-23036,-19245,58566,77811
Armenia,-12295,-15225,-14926,-16327,-19376,903,20279
Nepal,-37256,-31170,-36052,-38704,-21957,110,22067
"Libya, State of",-24972,,-30601,-35160,-23482,28,23510
Mongolia,-12750,-17036,-19148,-19660,-23605,297,23902
Plurinational State of Bolivia,-33357,-32806,-32664,-31171,-23743,5,23748
Andorra,-24651,-23698,-25483,-27827,-23817,316,24133
Tunisia,-32959,-35788,-29109,-25703,-24934,8686,33620
Azerbaijan,-20254,-24570,-27223,-29406,-26216,38,26254
Botswana,-22465,-21064,-22939,-27923,-27655,99,27754
Jordan,-23717,-24368,-20783,-31955,-28144,20778,48922
Bangladesh,-23553,-25886,-30469,-39324,-28321,401,28722
Thailand,-381572,-433266,-412637,-140816,-28827,586503,615330
Namibia,-31087,-35214,-36929,-34879,-28838,489,29327
El Salvador,-42340,-40789,-42333,-42629,-29440,1697,31137
Lao People's Democratic Republic,-3404,-5339,-1539,-3409,-30293,40,30333
Georgia,-20957,-24068,-23195,-30477,-30504,1191,31695
Guatemala,-26690,-30407,-35411,-36054,-31457,23106,54563
Lithuania,-37435,-42929,-35737,-40431,-33555,161998,195553
Greece,-56617,-60445,-65139,-61874,-33751,180177,213928
Cyprus,-46343,-50186,-54627,-44112,-34554,8103,42657
Nigeria,-16893,-14422,-10125,-9628,-36444,362,36806
Bosnia and Herzegovina,-37481,-39132,-44683,-44771,-38232,1546,39778
Denmark,-71895,-82997,-80901,-90058,-39048,283190,322238
Myanmar,-55948,-60278,-65395,-63919,-39495,944,40439
Argentina,-37545,-67335,-69952,-56016,-41276,56788,98064
Turkey,-107666,-125444,-116518,-99120,-41366,214315,255681
Serbia,-27603,-37475,-38860,-40403,-41968,25838,67806
Costa Rica,-53605,-54004,-53704,-54607,-45232,6634,51866
Hungary,-12044,-16411,-7053,-44865,-55018,175771,230789
Croatia,-48514,-49179,-58361,-54830,-55274,97074,152348
Algeria,-52438,-32405,-41948,-83711,-59002,80,59082
Belgium,76660,93768,-72293,-133309,-60821,1094545,1155366
Ecuador,-66969,-86349,-93713,-98263,-68264,715,68979
Morocco,-53591,-52221,-65235,-64473,-68669,18808,87477
Iraq,-52976,-76011,-87365,-113756,-70659,80,70739
Panama,-7259,-12468,-63949,-80188,-71503,13758,85261
Peru,-61395,-76104,-81758,-105953,-80300,13325,93625
Viet Nam,-36588,-50690,-69490,-78524,-82855,92770,175625
Brazil,-62028,-85590,-98875,-113698,-84526,78632,163158
Finland,-78968,-91013,-103976,-98198,-101250,35479,136729
Kuwait,-199796,-209704,-252362,-255132,-104426,5422,109848
Philippines,-28936,-86121,-120237,-151622,-106338,23604,129942
Kazakhstan,-66945,-88520,-97247,-113123,-110052,2231,112283
Slovakia,-86197,-93274,-116688,-107552,-114313,64496,178809
Qatar,,-159227,-163696,-156062,-116880,689,117569
New Zealand,-64876,-77548,-100925,-130980,-128531,66008,194539
Chile,-126036,-144004,-157432,-164030,-144608,30355,174963
Indonesia,-45356,-97545,-206336,-235350,-147262,109872,257134
Mexico,-207475,-290394,-300920,-284805,-154148,325158,479306
Ireland,-161695,-182555,-207876,-190094,-156082,136044,292126
Sweden,-169986,-201348,-190921,-202498,-164418,274389,438807
Ukraine,-120394,-126906,-155971,-186065,-172682,38730,211412
Portugal,-199291,-211830,-236807,-240197,-179796,55768,235564
Romania,-115886,-143926,-170039,-171864,-189259,41337,230596
Austria,-263348,-261522,-268067,-233897,-204718,227454,432172
Malaysia,-186948,-289770,-306389,-330923,-229413,119755,349168
Norway,-257496,-283068,-305377,-257558,-265803,35428,301231
Australia,-383812,-344005,-431742,-372547,-275268,512963,788231
Canada,-342015,-456984,-375889,-373509,-342795,1065430,1408225
United Arab Emirates,-618347,-527388,42978,160910,-378208,160550,538758
"Taipei, Chinese",-431169,-350280,-410962,-466635,-439556,411688,851244
Saudi Arabia,-597153,-544542,-573683,-671428,-594463,2131,596594
Russian Federation,-783428,-919885,-1017374,-1046200,-761539,254050,1015589
"Macao, China",-354186,,-562730,-826934,-2314816,43679,2358495
"Hong Kong, China",-2072514,-2180906,-2787195,-1910868,-3157707,4076475,7234182
China,-2311931,-3762257,-7436089,-10456327,-15158184,2177567,17335751
Cocos (Keeling) Islands,,1,1,7,,,
British Indian Ocean Territory,-105,-108,,4,,,
American Samoa,-36,-61,-4,-2,,,
Pitcairn,,1,,-5,,,
Western Sahara,1,4,2,,,,
