Countries,Type,Amount 
Afghanistan,Imported2020,3949
Barbados,Balance2016,-4829
Barbados,Balance2017,-3022
Barbados,Balance2018,-4271
Barbados,Balance2019,-3891
Barbados,Balance2020,-3994
Barbados,Exported2020,61
Barbados,Imported2020,4055
Turkmenistan,Balance2016,-6796
Turkmenistan,Balance2017,-7828
Turkmenistan,Balance2018,-4477
Turkmenistan,Balance2019,-4476
Turkmenistan,Balance2020,-4145
Turkmenistan,Exported2020,
Turkmenistan,Imported2020,4145
Burundi,Balance2016,-2315
Burundi,Balance2017,-2666
Burundi,Balance2018,-3831
Burundi,Balance2019,-3152
Burundi,Balance2020,-4147
Burundi,Exported2020,11
Burundi,Imported2020,4158
Maldives,Balance2016,-7622
Maldives,Balance2017,-8342
Maldives,Balance2018,-8821
Maldives,Balance2019,-10023
Maldives,Balance2020,-4279
Maldives,Exported2020,116
Maldives,Imported2020,4395
Rwanda,Balance2016,-6636
Rwanda,Balance2017,-7217
Rwanda,Balance2018,-8794
Rwanda,Balance2019,-6493
Rwanda,Balance2020,-4588
Rwanda,Exported2020,257
Rwanda,Imported2020,4845
Tanzania,Balance2016,5561
Tanzania,Balance2017,9372
Tanzania,Balance2018,51976
Tanzania,Balance2019,-4986
Tanzania,Balance2020,-4652
Tanzania,Exported2020,7783
Tanzania,Imported2020,12435
Curaçao,Balance2016,
Curaçao,Balance2017,-5011
Curaçao,Balance2018,-5672
Curaçao,Balance2019,-5211
Curaçao,Balance2020,-5223
Curaçao,Exported2020,454
Curaçao,Imported2020,5677
Eswatini,Balance2016,-4677
Eswatini,Balance2017,-7211
Eswatini,Balance2018,-7423
Eswatini,Balance2019,-6550
Eswatini,Balance2020,-5752
Eswatini,Exported2020,36
Eswatini,Imported2020,5788
Zimbabwe,Balance2016,-9125
Zimbabwe,Balance2017,-7534
Zimbabwe,Balance2018,-7937
Zimbabwe,Balance2019,-2765
Zimbabwe,Balance2020,-5900
Zimbabwe,Exported2020,8
Zimbabwe,Imported2020,5908
Ethiopia,Balance2016,-8452
Ethiopia,Balance2017,-10685
Ethiopia,Balance2018,-8959
Ethiopia,Balance2019,-9350
Ethiopia,Balance2020,-5929
Ethiopia,Exported2020,11
Ethiopia,Imported2020,5940
Cameroon,Balance2016,4944
Cameroon,Balance2017,2782
Cameroon,Balance2018,2775
Cameroon,Balance2019,-4619
Cameroon,Balance2020,-6157
Cameroon,Exported2020,514
Cameroon,Imported2020,6671
Pakistan,Balance2016,-14504
Pakistan,Balance2017,-18208
Pakistan,Balance2018,-20022
Pakistan,Balance2019,-13403
Pakistan,Balance2020,-6341
Pakistan,Exported2020,13084
Pakistan,Imported2020,19425
Sudan,Balance2016,-6031
Sudan,Balance2017,-7805
Sudan,Balance2018,-7031
Sudan,Balance2019,-9237
Sudan,Balance2020,-6367
Sudan,Exported2020,37
Sudan,Imported2020,6404
Zambia,Balance2016,-5844
Zambia,Balance2017,-6737
Zambia,Balance2018,-7742
Zambia,Balance2019,-7271
Zambia,Balance2020,-6508
Zambia,Exported2020,626
Zambia,Imported2020,7134
Bulgaria,Balance2016,-22040
Bulgaria,Balance2017,-16283
Bulgaria,Balance2018,-30865
Bulgaria,Balance2019,-30520
Bulgaria,Balance2020,-6518
Bulgaria,Exported2020,73786
Bulgaria,Imported2020,80304
Venezuela,Balance2016,-10451
Venezuela,Balance2017,-6059
Venezuela,Balance2018,-1779
Venezuela,Balance2019,-2556
Venezuela,Balance2020,-6880
Venezuela,Exported2020,76
Venezuela,Imported2020,6956
New Caledonia,Balance2016,-6956
New Caledonia,Balance2017,-6379
New Caledonia,Balance2018,-7380
New Caledonia,Balance2019,-6758
New Caledonia,Balance2020,-6945
New Caledonia,Exported2020,17
New Caledonia,Imported2020,6962
Haiti,Balance2016,-8399
Haiti,Balance2017,-4534
Haiti,Balance2018,-8405
Haiti,Balance2019,-4922
Haiti,Balance2020,-7295
Haiti,Exported2020,93
Haiti,Imported2020,7388
Mali,Balance2016,-5803
Mali,Balance2017,-6091
Mali,Balance2018,-7671
Mali,Balance2019,-9768
Mali,Balance2020,-7730
Mali,Exported2020,46
Mali,Imported2020,7776
Latvia,Balance2016,-11949
Latvia,Balance2017,-16955
Latvia,Balance2018,-9041
Latvia,Balance2019,-12957
Latvia,Balance2020,-7866
Latvia,Exported2020,60793
Latvia,Imported2020,68659
Yemen,Balance2016,-7050
Yemen,Balance2017,-12659
Yemen,Balance2018,-15955
Yemen,Balance2019,-18812
Yemen,Balance2020,-9131
Yemen,Exported2020,2
Yemen,Imported2020,9133
Ghana,Balance2016,19371
Ghana,Balance2017,39075
Ghana,Balance2018,-7380
Ghana,Balance2019,-5829
Ghana,Balance2020,-10395
Ghana,Exported2020,2419
Ghana,Imported2020,12814
Trinidad and Tobago,Balance2016,-15345
Trinidad and Tobago,Balance2017,-16312
Trinidad and Tobago,Balance2018,-14100
Trinidad and Tobago,Balance2019,-15315
Trinidad and Tobago,Balance2020,-10549
Trinidad and Tobago,Exported2020,602
Trinidad and Tobago,Imported2020,11151
Brunei Darussalam,Balance2016,-6516
Brunei Darussalam,Balance2017,-6398
Brunei Darussalam,Balance2018,-6656
Brunei Darussalam,Balance2019,-6737
Brunei Darussalam,Balance2020,-10799
Brunei Darussalam,Exported2020,182
Brunei Darussalam,Imported2020,10981
Angola,Balance2016,-11928
Angola,Balance2017,-16589
Angola,Balance2018,-13983
Angola,Balance2019,-11345
Angola,Balance2020,-10862
Angola,Exported2020,55
Angola,Imported2020,10917
Malta,Balance2016,-8930
Malta,Balance2017,-9003
Malta,Balance2018,-10353
Malta,Balance2019,-12315
Malta,Balance2020,-10865
Malta,Exported2020,2387
Malta,Imported2020,13252
Kyrgyzstan,Balance2016,-11598
Kyrgyzstan,Balance2017,-17891
Kyrgyzstan,Balance2018,-21129
Kyrgyzstan,Balance2019,-3550
Kyrgyzstan,Balance2020,-11618
Kyrgyzstan,Exported2020,844
Kyrgyzstan,Imported2020,12462
Iran,Balance2016,-84800
Iran,Balance2017,-120307
Iran,Balance2018,-79945
Iran,Balance2019,-55002
Iran,Balance2020,-11664
Iran,Exported2020,1210
Iran,Imported2020,12874
Montenegro,Balance2016,-14120
Montenegro,Balance2017,-13598
Montenegro,Balance2018,-13454
Montenegro,Balance2019,-14046
Montenegro,Balance2020,-12594
Montenegro,Exported2020,360
Montenegro,Imported2020,12954
Macedonia,Balance2016,-10249
Macedonia,Balance2017,-12068
Macedonia,Balance2018,-12095
Macedonia,Balance2019,-13917
Macedonia,Balance2020,-12610
Macedonia,Exported2020,4365
Macedonia,Imported2020,16975
Egypt,Balance2016,-30002
Egypt,Balance2017,-34914
Egypt,Balance2018,-25506
Egypt,Balance2019,-42686
Egypt,Balance2020,-12633
Egypt,Exported2020,24257
Egypt,Imported2020,36890
Iceland,Balance2016,-14338
Iceland,Balance2017,-14553
Iceland,Balance2018,-10350
Iceland,Balance2019,-10782
Iceland,Balance2020,-13164
Iceland,Exported2020,10438
Albania,Balance2016,-12419
Algeria,Balance2016,-52438
American Samoa,Balance2016,-36
Andorra,Balance2016,-24651
Argentina,Balance2016,-37545
Armenia,Balance2016,-12295
Australia,Balance2016,-383812
Austria,Balance2016,-263348
Azerbaijan,Balance2016,-20254
Bahrain,Balance2016,-44623
Bangladesh,Balance2016,-23553
Belarus,Balance2016,-12984
Belgium,Balance2016,76660
Bolivia,Balance2016,-33357
Bosnia and Herzegovina,Balance2016,-37481
Botswana,Balance2016,-22465
Brazil,Balance2016,-62028
British Indian Ocean Territory,Balance2016,-105
Cambodia,Balance2016,-21381
Canada,Balance2016,-342015
Chile,Balance2016,-126036
China,Balance2016,-2311931
Cocos (Keeling) Islands,Balance2016,
Costa Rica,Balance2016,-53605
Croatia,Balance2016,-48514
Cyprus,Balance2016,-46343
Denmark,Balance2016,-71895
Dominican Republic,Balance2016,-24120
Ecuador,Balance2016,-66969
El Salvador,Balance2016,-42340
Estonia,Balance2016,-30456
Finland,Balance2016,-78968
Georgia,Balance2016,-20957
Greece,Balance2016,-56617
Guatemala,Balance2016,-26690
Guinea,Balance2016,-1443
Honduras,Balance2016,-25995
"Hong Kong, China",Balance2016,-2072514
Hungary,Balance2016,-12044
Indonesia,Balance2016,-45356
Iraq,Balance2016,-52976
Ireland,Balance2016,-161695
Jordan,Balance2016,-23717
Kazakhstan,Balance2016,-66945
Kuwait,Balance2016,-199796
Lao PDR,Balance2016,-3404
Libya,Balance2016,-24972
Lithuania,Balance2016,-37435
"Macao, China",Balance2016,-354186
Malaysia,Balance2016,-186948
Mauritius,Balance2016,-17752
Mexico,Balance2016,-207475
Moldova,Balance2016,-13810
Mongolia,Balance2016,-12750
Morocco,Balance2016,-53591
Myanmar,Balance2016,-55948
Namibia,Balance2016,-31087
Nepal,Balance2016,-37256
New Zealand,Balance2016,-64876
Nicaragua,Balance2016,-22902
Nigeria,Balance2016,-16893
Norway,Balance2016,-257496
Oman,Balance2016,-62116
Panama,Balance2016,-7259
Paraguay,Balance2016,-16104
Peru,Balance2016,-61395
Philippines,Balance2016,-28936
Pitcairn,Balance2016,
Portugal,Balance2016,-199291
Qatar,Balance2016,
Romania,Balance2016,-115886
Russian Federation,Balance2016,-783428
Saudi Arabia,Balance2016,-597153
Serbia,Balance2016,-27603
Slovakia,Balance2016,-86197
Sweden,Balance2016,-169986
Taiwan,Balance2016,-431169
Thailand,Balance2016,-381572
Tunisia,Balance2016,-32959
Turkey,Balance2016,-107666
Ukraine,Balance2016,-120394
United Arab Emirates,Balance2016,-618347
Uruguay,Balance2016,-16180
Uzbekistan,Balance2016,
Viet Nam,Balance2016,-36588
Western Sahara,Balance2016,1
Albania,Balance2017,-10470
Algeria,Balance2017,-32405
American Samoa,Balance2017,-61
Andorra,Balance2017,-23698
Argentina,Balance2017,-67335
Armenia,Balance2017,-15225
Australia,Balance2017,-344005
Austria,Balance2017,-261522
Azerbaijan,Balance2017,-24570
Bahrain,Balance2017,-47306
Bangladesh,Balance2017,-25886
Belarus,Balance2017,-20950
Belgium,Balance2017,93768
Bolivia,Balance2017,-32806
Bosnia and Herzegovina,Balance2017,-39132
Botswana,Balance2017,-21064
Brazil,Balance2017,-85590
British Indian Ocean Territory,Balance2017,-108
Cambodia,Balance2017,-29060
Canada,Balance2017,-456984
Chile,Balance2017,-144004
China,Balance2017,-3762257
Cocos (Keeling) Islands,Balance2017,1
Costa Rica,Balance2017,-54004
Croatia,Balance2017,-49179
Cyprus,Balance2017,-50186
Denmark,Balance2017,-82997
Dominican Republic,Balance2017,-32870
Ecuador,Balance2017,-86349
El Salvador,Balance2017,-40789
Estonia,Balance2017,-19980
Finland,Balance2017,-91013
Georgia,Balance2017,-24068
Greece,Balance2017,-60445
Guatemala,Balance2017,-30407
Guinea,Balance2017,-21112
Honduras,Balance2017,-25410
"Hong Kong, China",Balance2017,-2180906
Hungary,Balance2017,-16411
Indonesia,Balance2017,-97545
Iraq,Balance2017,-76011
Ireland,Balance2017,-182555
Jordan,Balance2017,-24368
Kazakhstan,Balance2017,-88520
Kuwait,Balance2017,-209704
Lao PDR,Balance2017,-5339
Libya,Balance2017,
Lithuania,Balance2017,-42929
"Macao, China",Balance2017,
Malaysia,Balance2017,-289770
Mauritius,Balance2017,-18085
Mexico,Balance2017,-290394
Moldova,Balance2017,-16385
Mongolia,Balance2017,-17036
Morocco,Balance2017,-52221
Myanmar,Balance2017,-60278
Namibia,Balance2017,-35214
Nepal,Balance2017,-31170
New Zealand,Balance2017,-77548
Nicaragua,Balance2017,-23027
Nigeria,Balance2017,-14422
Norway,Balance2017,-283068
Oman,Balance2017,-66303
Panama,Balance2017,-12468
Paraguay,Balance2017,-26290
Peru,Balance2017,-76104
Philippines,Balance2017,-86121
Pitcairn,Balance2017,1
Portugal,Balance2017,-211830
Qatar,Balance2017,-159227
Romania,Balance2017,-143926
Russian Federation,Balance2017,-919885
Saudi Arabia,Balance2017,-544542
Serbia,Balance2017,-37475
Slovakia,Balance2017,-93274
Sweden,Balance2017,-201348
Taiwan,Balance2017,-350280
Thailand,Balance2017,-433266
Tunisia,Balance2017,-35788
Turkey,Balance2017,-125444
Ukraine,Balance2017,-126906
United Arab Emirates,Balance2017,-527388
Uruguay,Balance2017,-18140
Uzbekistan,Balance2017,-6253
Viet Nam,Balance2017,-50690
Western Sahara,Balance2017,4
Albania,Balance2018,-13950
Algeria,Balance2018,-41948
American Samoa,Balance2018,-4
Andorra,Balance2018,-25483
Argentina,Balance2018,-69952
Armenia,Balance2018,-14926
Australia,Balance2018,-431742
Austria,Balance2018,-268067
Azerbaijan,Balance2018,-27223
Bahrain,Balance2018,-55111
Bangladesh,Balance2018,-30469
Belarus,Balance2018,-24208
Belgium,Balance2018,-72293
Bolivia,Balance2018,-32664
Bosnia and Herzegovina,Balance2018,-44683
Botswana,Balance2018,-22939
Brazil,Balance2018,-98875
British Indian Ocean Territory,Balance2018,
Cambodia,Balance2018,-52167
Canada,Balance2018,-375889
Chile,Balance2018,-157432
China,Balance2018,-7436089
Cocos (Keeling) Islands,Balance2018,1
Costa Rica,Balance2018,-53704
Croatia,Balance2018,-58361
Cyprus,Balance2018,-54627
Denmark,Balance2018,-80901
Dominican Republic,Balance2018,-35031
Ecuador,Balance2018,-93713
El Salvador,Balance2018,-42333
Estonia,Balance2018,-22268
Finland,Balance2018,-103976
Georgia,Balance2018,-23195
Greece,Balance2018,-65139
Guatemala,Balance2018,-35411
Guinea,Balance2018,-24678
Honduras,Balance2018,-24822
"Hong Kong, China",Balance2018,-2787195
Hungary,Balance2018,-7053
Indonesia,Balance2018,-206336
Iraq,Balance2018,-87365
Ireland,Balance2018,-207876
Jordan,Balance2018,-20783
Kazakhstan,Balance2018,-97247
Kuwait,Balance2018,-252362
Lao PDR,Balance2018,-1539
Libya,Balance2018,-30601
Lithuania,Balance2018,-35737
"Macao, China",Balance2018,-562730
Malaysia,Balance2018,-306389
Mauritius,Balance2018,-19662
Mexico,Balance2018,-300920
Moldova,Balance2018,-19050
Mongolia,Balance2018,-19148
Morocco,Balance2018,-65235
Myanmar,Balance2018,-65395
Namibia,Balance2018,-36929
Nepal,Balance2018,-36052
New Zealand,Balance2018,-100925
Nicaragua,Balance2018,-19662
Nigeria,Balance2018,-10125
Norway,Balance2018,-305377
Oman,Balance2018,-69946
Panama,Balance2018,-63949
Paraguay,Balance2018,-27648
Peru,Balance2018,-81758
Philippines,Balance2018,-120237
Pitcairn,Balance2018,
Portugal,Balance2018,-236807
Qatar,Balance2018,-163696
Romania,Balance2018,-170039
Russian Federation,Balance2018,-1017374
Saudi Arabia,Balance2018,-573683
Serbia,Balance2018,-38860
Slovakia,Balance2018,-116688
Sweden,Balance2018,-190921
Taiwan,Balance2018,-410962
Thailand,Balance2018,-412637
Tunisia,Balance2018,-29109
Turkey,Balance2018,-116518
Ukraine,Balance2018,-155971
United Arab Emirates,Balance2018,42978
Uruguay,Balance2018,-19557
Uzbekistan,Balance2018,-7364
Viet Nam,Balance2018,-69490
Western Sahara,Balance2018,2
Albania,Balance2019,-12788
Algeria,Balance2019,-83711
American Samoa,Balance2019,-2
Andorra,Balance2019,-27827
Argentina,Balance2019,-56016
Armenia,Balance2019,-16327
Australia,Balance2019,-372547
Austria,Balance2019,-233897
Azerbaijan,Balance2019,-29406
Bahrain,Balance2019,-52828
Bangladesh,Balance2019,-39324
Belarus,Balance2019,-23036
Belgium,Balance2019,-133309
Bolivia,Balance2019,-31171
Bosnia and Herzegovina,Balance2019,-44771
Botswana,Balance2019,-27923
Brazil,Balance2019,-113698
British Indian Ocean Territory,Balance2019,4
Cambodia,Balance2019,-35500
Canada,Balance2019,-373509
Chile,Balance2019,-164030
China,Balance2019,-10456327
Cocos (Keeling) Islands,Balance2019,7
Costa Rica,Balance2019,-54607
Croatia,Balance2019,-54830
Cyprus,Balance2019,-44112
Denmark,Balance2019,-90058
Dominican Republic,Balance2019,-34882
Ecuador,Balance2019,-98263
El Salvador,Balance2019,-42629
Estonia,Balance2019,-29111
Finland,Balance2019,-98198
Georgia,Balance2019,-30477
Greece,Balance2019,-61874
Guatemala,Balance2019,-36054
Guinea,Balance2019,-25937
Honduras,Balance2019,-26436
"Hong Kong, China",Balance2019,-1910868
Hungary,Balance2019,-44865
Indonesia,Balance2019,-235350
Iraq,Balance2019,-113756
Ireland,Balance2019,-190094
Jordan,Balance2019,-31955
Kazakhstan,Balance2019,-113123
Kuwait,Balance2019,-255132
Lao PDR,Balance2019,-3409
Libya,Balance2019,-35160
Lithuania,Balance2019,-40431
"Macao, China",Balance2019,-826934
Malaysia,Balance2019,-330923
Mauritius,Balance2019,-19703
Mexico,Balance2019,-284805
Moldova,Balance2019,-21621
Mongolia,Balance2019,-19660
Morocco,Balance2019,-64473
Myanmar,Balance2019,-63919
Namibia,Balance2019,-34879
Nepal,Balance2019,-38704
New Zealand,Balance2019,-130980
Nicaragua,Balance2019,-18407
Nigeria,Balance2019,-9628
Norway,Balance2019,-257558
Oman,Balance2019,-113419
Panama,Balance2019,-80188
Paraguay,Balance2019,-25417
Peru,Balance2019,-105953
Philippines,Balance2019,-151622
Pitcairn,Balance2019,-5
Portugal,Balance2019,-240197
Qatar,Balance2019,-156062
Romania,Balance2019,-171864
Russian Federation,Balance2019,-1046200
Saudi Arabia,Balance2019,-671428
Serbia,Balance2019,-40403
Slovakia,Balance2019,-107552
Sweden,Balance2019,-202498
Taiwan,Balance2019,-466635
Thailand,Balance2019,-140816
Tunisia,Balance2019,-25703
Turkey,Balance2019,-99120
Ukraine,Balance2019,-186065
United Arab Emirates,Balance2019,160910
Uruguay,Balance2019,-17487
Uzbekistan,Balance2019,-11830
Viet Nam,Balance2019,-78524
Western Sahara,Balance2019,
Albania,Balance2020,-17955
Algeria,Balance2020,-59002
American Samoa,Balance2020,
Andorra,Balance2020,-23817
Argentina,Balance2020,-41276
Armenia,Balance2020,-19376
Australia,Balance2020,-275268
Austria,Balance2020,-204718
Azerbaijan,Balance2020,-26216
Bahrain,Balance2020,-14578
Bangladesh,Balance2020,-28321
Belarus,Balance2020,-19245
Belgium,Balance2020,-60821
Bolivia,Balance2020,-23743
Bosnia and Herzegovina,Balance2020,-38232
Botswana,Balance2020,-27655
Brazil,Balance2020,-84526
British Indian Ocean Territory,Balance2020,
Cambodia,Balance2020,-16720
Canada,Balance2020,-342795
Chile,Balance2020,-144608
China,Balance2020,-15158184
Cocos (Keeling) Islands,Balance2020,
Costa Rica,Balance2020,-45232
Croatia,Balance2020,-55274
Cyprus,Balance2020,-34554
Denmark,Balance2020,-39048
Dominican Republic,Balance2020,-15965
Ecuador,Balance2020,-68264
El Salvador,Balance2020,-29440
Estonia,Balance2020,-13681
Finland,Balance2020,-101250
Georgia,Balance2020,-30504
Greece,Balance2020,-33751
Guatemala,Balance2020,-31457
Guinea,Balance2020,-15332
Honduras,Balance2020,-17493
"Hong Kong, China",Balance2020,-3157707
Hungary,Balance2020,-55018
Indonesia,Balance2020,-147262
Iraq,Balance2020,-70659
Ireland,Balance2020,-156082
Jordan,Balance2020,-28144
Kazakhstan,Balance2020,-110052
Kuwait,Balance2020,-104426
Lao PDR,Balance2020,-30293
Libya,Balance2020,-23482
Lithuania,Balance2020,-33555
"Macao, China",Balance2020,-2314816
Malaysia,Balance2020,-229413
Mauritius,Balance2020,-14210
Mexico,Balance2020,-154148
Moldova,Balance2020,-18439
Mongolia,Balance2020,-23605
Morocco,Balance2020,-68669
Myanmar,Balance2020,-39495
Namibia,Balance2020,-28838
Nepal,Balance2020,-21957
New Zealand,Balance2020,-128531
Nicaragua,Balance2020,-15528
Nigeria,Balance2020,-36444
Norway,Balance2020,-265803
Oman,Balance2020,-17140
Panama,Balance2020,-71503
Paraguay,Balance2020,-17283
Peru,Balance2020,-80300
Philippines,Balance2020,-106338
Pitcairn,Balance2020,
Portugal,Balance2020,-179796
Qatar,Balance2020,-116880
Romania,Balance2020,-189259
Russian Federation,Balance2020,-761539
Saudi Arabia,Balance2020,-594463
Serbia,Balance2020,-41968
Slovakia,Balance2020,-114313
Sweden,Balance2020,-164418
Taiwan,Balance2020,-439556
Thailand,Balance2020,-28827
Tunisia,Balance2020,-24934
Turkey,Balance2020,-41366
Ukraine,Balance2020,-172682
United Arab Emirates,Balance2020,-378208
Uruguay,Balance2020,-16554
Uzbekistan,Balance2020,-14464
Viet Nam,Balance2020,-82855
Western Sahara,Balance2020,
Albania,Exported2020,984
Algeria,Exported2020,80
American Samoa,Exported2020,
Andorra,Exported2020,316
Argentina,Exported2020,56788
Armenia,Exported2020,903
Australia,Exported2020,512963
Austria,Exported2020,227454
Azerbaijan,Exported2020,38
Bahrain,Exported2020,78
Bangladesh,Exported2020,401
Belarus,Exported2020,58566
Belgium,Exported2020,1094545
Bolivia,Exported2020,5
Bosnia and Herzegovina,Exported2020,1546
Botswana,Exported2020,99
Brazil,Exported2020,78632
British Indian Ocean Territory,Exported2020,
Cambodia,Exported2020,1646
Canada,Exported2020,1065430
Chile,Exported2020,30355
China,Exported2020,2177567
Cocos (Keeling) Islands,Exported2020,
Costa Rica,Exported2020,6634
Croatia,Exported2020,97074
Cyprus,Exported2020,8103
Denmark,Exported2020,283190
Dominican Republic,Exported2020,25249
Ecuador,Exported2020,715
El Salvador,Exported2020,1697
Estonia,Exported2020,56047
Finland,Exported2020,35479
Georgia,Exported2020,1191
Greece,Exported2020,180177
Guatemala,Exported2020,23106
Guinea,Exported2020,35
Honduras,Exported2020,225
"Hong Kong, China",Exported2020,4076475
Hungary,Exported2020,175771
Indonesia,Exported2020,109872
Iraq,Exported2020,80
Ireland,Exported2020,136044
Jordan,Exported2020,20778
Kazakhstan,Exported2020,2231
Kuwait,Exported2020,5422
Lao PDR,Exported2020,40
Libya,Exported2020,28
Lithuania,Exported2020,161998
"Macao, China",Exported2020,43679
Malaysia,Exported2020,119755
Mauritius,Exported2020,261
Mexico,Exported2020,325158
Moldova,Exported2020,2317
Mongolia,Exported2020,297
Morocco,Exported2020,18808
Myanmar,Exported2020,944
Namibia,Exported2020,489
Nepal,Exported2020,110
New Zealand,Exported2020,66008
Nicaragua,Exported2020,161
Nigeria,Exported2020,362
Norway,Exported2020,35428
Oman,Exported2020,42
Panama,Exported2020,13758
Paraguay,Exported2020,730
Peru,Exported2020,13325
Philippines,Exported2020,23604
Pitcairn,Exported2020,
Portugal,Exported2020,55768
Qatar,Exported2020,689
Romania,Exported2020,41337
Russian Federation,Exported2020,254050
Saudi Arabia,Exported2020,2131
Serbia,Exported2020,25838
Slovakia,Exported2020,64496
Sweden,Exported2020,274389
Taiwan,Exported2020,411688
Thailand,Exported2020,586503
Tunisia,Exported2020,8686
Turkey,Exported2020,214315
Ukraine,Exported2020,38730
United Arab Emirates,Exported2020,160550
Uruguay,Exported2020,393
Uzbekistan,Exported2020,186
Viet Nam,Exported2020,92770
Western Sahara,Exported2020,
Albania,Imported2020,18939
Algeria,Imported2020,59082
American Samoa,Imported2020,
Andorra,Imported2020,24133
Argentina,Imported2020,98064
Armenia,Imported2020,20279
Australia,Imported2020,788231
Austria,Imported2020,432172
Azerbaijan,Imported2020,26254
Bahrain,Imported2020,14656
Bangladesh,Imported2020,28722
Belarus,Imported2020,77811
Belgium,Imported2020,1155366
Bolivia,Imported2020,23748
Bosnia and Herzegovina,Imported2020,39778
Botswana,Imported2020,27754
Brazil,Imported2020,163158
British Indian Ocean Territory,Imported2020,
Cambodia,Imported2020,18366
Canada,Imported2020,1408225
Chile,Imported2020,174963
China,Imported2020,17335751
Cocos (Keeling) Islands,Imported2020,
Costa Rica,Imported2020,51866
Croatia,Imported2020,152348
Cyprus,Imported2020,42657
Denmark,Imported2020,322238
Dominican Republic,Imported2020,41214
Ecuador,Imported2020,68979
El Salvador,Imported2020,31137
Estonia,Imported2020,69728
Finland,Imported2020,136729
Georgia,Imported2020,31695
Greece,Imported2020,213928
Guatemala,Imported2020,54563
Guinea,Imported2020,15367
Honduras,Imported2020,17718
"Hong Kong, China",Imported2020,7234182
Hungary,Imported2020,230789
Iceland,Imported2020,23602
Indonesia,Imported2020,257134
Iraq,Imported2020,70739
Ireland,Imported2020,292126
Jordan,Imported2020,48922
Kazakhstan,Imported2020,112283
Kuwait,Imported2020,109848
Lao PDR,Imported2020,30333
Libya,Imported2020,23510
Lithuania,Imported2020,195553
"Macao, China",Imported2020,2358495
Malaysia,Imported2020,349168
Mauritius,Imported2020,14471
Mexico,Imported2020,479306
Moldova,Imported2020,20756
Mongolia,Imported2020,23902
Morocco,Imported2020,87477
Myanmar,Imported2020,40439
Namibia,Imported2020,29327
Nepal,Imported2020,22067
New Zealand,Imported2020,194539
Nicaragua,Imported2020,15689
Nigeria,Imported2020,36806
Norway,Imported2020,301231
Oman,Imported2020,17182
Panama,Imported2020,85261
Paraguay,Imported2020,18013
Peru,Imported2020,93625
Philippines,Imported2020,129942
Pitcairn,Imported2020,
Portugal,Imported2020,235564
Qatar,Imported2020,117569
Romania,Imported2020,230596
Russian Federation,Imported2020,1015589
Saudi Arabia,Imported2020,596594
Serbia,Imported2020,67806
Slovakia,Imported2020,178809
Sweden,Imported2020,438807
Taiwan,Imported2020,851244
Thailand,Imported2020,615330
Tunisia,Imported2020,33620
Turkey,Imported2020,255681
Ukraine,Imported2020,211412
United Arab Emirates,Imported2020,538758
Uruguay,Imported2020,16947
Uzbekistan,Imported2020,14650
Viet Nam,Imported2020,175625
Western Sahara,Imported2020,
